var_0;var_1;var_2;var_3;var_4;var_5;var_6;var_7;var_8;var_9;var_10;var_11;var_12;var_13;var_14;var_15;var_16;var_17;var_18;var_19;var_20;var_21;var_22;var_23;var_24;var_25;var_26;var_27;var_28;var_29;var_30;var_31;var_32;var_33;var_34;var_35
Concludente/Egresso;Angicos - Noturno;2018.1;20211;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Pública;Escola Estadual;RN;Sim;Não;Masculino;Pardo;Solteiro;Sim;Sim;Entre 501 e 1000 reais;Não;Aprovado em todas as disciplinas;Sim;Sim;Sim;Não;Não;Não;Sim;Não;Sim;Ensino médio completo;Ensino médio completo;24;2018;2021;30
Concludente/Egresso;Angicos - Noturno;2020.1;20211;Sim, sempre quis cursar CeT;Sim;privada;NULO;Privada;NULO;RN;Sim;Não;Masculino;Branco;Solteiro;Não;Sim;Entre 501 e 1000 reais;Sim;Aprovado em todas as disciplinas;Não;Não;Sim;Não;Sim;Sim;Não;Não;Não;Pós-graduação completa;Ensino superior incompleto;25;2020;2021;10
Concludente/Egresso;Mossoró - Diurno;2015.1;20172;Sim, sempre quis cursar CeT;Sim;Pública;Instituto Federal;Pública;Municipal;RN;Não;Não;Masculino;Pardo;Casado;Não;Sim;Entre 2001 e 2500 reais;Sim;Aprovado em todas as disciplinas;Sim;Não;Não;Não;Sim;Sim;Não;Não;Sim;Ensino superior Completo;Ensino fundamental incompleto;26;2015;2017;20
Concludente/Egresso;Mossoró - Noturno;2016.2;20211;Sim, sempre quis cursar CeT;Não;Pública;Escola Estadual;Pública;Municipal;RN;Eu já morava na mesma cidade;Não;Masculino;Branco;Solteiro;Não;Sim;Entre 1501 e 2000 reais;Não;Aprovado em todas as disciplinas;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Ensino médio completo;Ensino médio completo;27;2016;2021;50
Concludente/Egresso;Caraúbas - Noturno;2014.1;20211;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Pública;Escola Estadual;RN;Não;Não;Masculino;Pardo;Casado;Sim;Sim;Entre 1001 e 1500 reais;Não;Reprovado em cinco ou mais disciplinas;Não;Não;Sim;Sim;Sim;Sim;Não;Não;Sim;Pós-graduação completa;Ensino fundamental incompleto;28;2014;2021;70
Concludente/Egresso;Mossoró - Noturno;2015.1;20182;Sim, sempre quis cursar CeT;Sim;Pública;Instituto Federal;Pública;Municipal;RN;Não;Não;Masculino;Negro;Solteiro;Não;Sim;Entre 2501 e 3000 reais;Não;Aprovado em todas as disciplinas;Sim;Não;Sim;Não;Não;Sim;Não;Não;Sim;Ensino fundamental incompleto;Ensino médio completo;29;2015;2018;30
Concludente/Egresso;Mossoró - Diurno;2013.1;20172;Não, esse foi o curso que consegui ingressar;Não;privada;NULO;Privada;NULO;CE;Não;Sim;Feminino;Branco;Solteiro;Não;Sim;Menos de 500 reais;Sim;Reprovado em uma disciplina;Não;Não;Sim;Não;Não;Sim;Sim;Não;Não;Ensino médio completo;Ensino médio completo;30;2013;2017;40
Concludente/Egresso;Mossoró - Diurno;2009.1;20112;Sim, sempre quis cursar CeT;Sim;privada;NULO;Privada;NULO;RN;Eu já morava na mesma cidade;Não;Masculino;Prefiro não informar;Solteiro;Não;Sim;Entre 2001 e 2500 reais;Sim;Aprovado em todas as disciplinas;Sim;Não;Não;Não;Sim;Sim;Não;Não;Não;Ensino superior Completo;Ensino superior incompleto;31;2009;2011;20
Concludente/Egresso;Mossoró - Noturno;2017.1;20201;Sim, sempre quis cursar CeT;Não;Pública;Escola Estadual;Pública;Municipal;CE;Sim;Não;Feminino;Negro;Solteiro;Não;Não;Entre 2501 e 3000 reais;Sim;Aprovado em todas as disciplinas;Não;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Ensino fundamental incompleto;Ensino médio completo;32;2017;2020;30
Concludente/Egresso;Mossoró - Diurno;2014.2;20181;Não, esse foi o curso que consegui ingressar;Sim;Pública;Escola Estadual;Pública;Escola Estadual;CE;Sim;Sim;Feminino;Pardo;Solteiro;Não;Sim;Entre 1001 e 1500 reais;Sim;Reprovado em duas disciplinas;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Não;Ensino médio incompleto;Ensino fundamental incompleto;33;2014;2018;40
Concludente/Egresso;Mossoró - Diurno;2018.1;20212;Sim, sempre quis cursar CeT;Não;privada;NULO;Pública;Municipal;RN;Eu já morava na mesma cidade;Não;Masculino;Branco;Solteiro;Não;Não;Entre 1001 e 1500 reais;Sim;Aprovado em todas as disciplinas;Sim;Não;Não;Não;Sim;Sim;Não;Não;Não;Ensino médio completo;Ensino médio completo;34;2018;2021;30
Evadido/Desistente;Mossoró - Diurno;2010.2;20112;Sim, sempre quis cursar CeT;Não;Pública;Escola Estadual;Pública;Escola Estadual;RN;Sim;Sim;Masculino;Branco;Solteiro;Não;Não;Entre 501 e 1000 reais;Sim;Reprovado em cinco ou mais disciplinas;Não;Não;Não;Não;Sim;Sim;Sim;Não;Sim;Ensino médio completo;Ensino fundamental Completo;35;2010;2011;10
Concludente/Egresso;Pau dos Ferros - Noturno;2016.2;20211;Sim, sempre quis cursar CeT;Não;Pública;Escola Estadual;Pública;Municipal;RN;Não;Sim;Masculino;Negro;Solteiro;Não;Sim;Entre 1001 e 1500 reais;Sim;Reprovado em uma disciplina;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Ensino médio completo;Ensino médio completo;36;2016;2021;50
Concludente/Egresso;Mossoró - Diurno;2019.1;20212;Não, esse foi o curso que consegui ingressar;Sim;Pública;Escola Estadual;Pública;Municipal;CE;Sim;Não;Masculino;Branco;Solteiro;Não;Não;Menos de 500 reais;Sim;Aprovado em todas as disciplinas;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Ensino médio incompleto;Ensino fundamental incompleto;37;2019;2021;20
Concludente/Egresso;Angicos - Diurno;2015.1;20182;Sim, sempre quis cursar CeT;Não;Pública;Escola Estadual;Pública;Municipal;RN;Não;Não;Masculino;Pardo;Solteiro;Não;Não;Entre 501 e 1000 reais;Sim;Reprovado em uma disciplina;Sim;Não;Sim;Sim;Não;Sim;Não;Não;Sim;Ensino primário incompleto;Ensino primário incompleto;38;2015;2018;30
Concludente/Egresso;Caraúbas - Diurno;2021.1;20212;Não, esse foi o curso que consegui ingressar;Não;Pública;Escola Estadual;Pública;Escola Estadual;RN;Sim;Não;Masculino;Pardo;Solteiro;Não;Não;Entre 501 e 1000 reais;Sim;Reprovado em uma disciplina;Não;Sim;Sim;Sim;Não;Sim;Sim;Não;Sim;Ensino fundamental incompleto;Ensino fundamental incompleto;39;2021;2021;0
Concludente/Egresso;Mossoró - Diurno;2021.1;20221;Não, esse foi o curso que consegui ingressar;Sim;Pública;Escola Estadual;Pública;Escola Estadual;RN;Eu já morava na mesma cidade;Não;Masculino;Pardo;Solteiro;Não;Sim;Entre 1001 e 1500 reais;Não;Aprovado em todas as disciplinas;Sim;Sim;Sim;Sim;Sim;Não;Sim;Sim;Sim;Ensino fundamental incompleto;Ensino fundamental incompleto;40;2021;2022;10
Concludente/Egresso;Pau dos Ferros - Noturno;2015.2;20182;Sim, sempre quis cursar CeT;Não;Pública;Escola Estadual;Pública;Municipal;RN;Não;Não;Masculino;Branco;Solteiro;Não;Sim;Menos de 500 reais;Sim;Reprovado em duas disciplinas;Sim;Não;Não;Não;Não;Sim;Sim;Não;Sim;Ensino fundamental incompleto;Ensino primário incompleto;41;2015;2018;30
Evadido/Desistente;Mossoró - Noturno;2020.1;20202;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Pública;Escola Estadual;RN;Eu já morava na mesma cidade;Não;Masculino;Branco;Casado;Sim;Sim;Entre 1001 e 1500 reais;Não;Reprovado em cinco ou mais disciplinas;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Ensino médio completo;Ensino superior Completo;42;2020;2020;0
Evadido/Desistente;Caraúbas - Noturno;2010.2;20111;Não, esse foi o curso que consegui ingressar;Não;privada;NULO;Privada;NULO;CE;Sim;Não;Feminino;Branco;Solteiro;Não;Sim;Entre 1501 e 2000 reais;Não;Reprovado em uma disciplina;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Pós-graduação completa;Pós-graduação completa;43;2010;2011;10
Evadido/Desistente;Pau dos Ferros - Diurno;2015.2;20161;Não, esse foi o curso que consegui ingressar;Sim;privada;NULO;Privada;NULO;CE;Sim;Não;Masculino;Branco;Solteiro;Não;Sim;Acima de 3000 reais;Sim;Reprovado em uma disciplina;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim;Ensino médio completo;Ensino superior Completo;44;2015;2016;10
Concludente/Egresso;Pau dos Ferros - Noturno;2017.2;20212;Não, esse foi o curso que consegui ingressar;Não;Pública;Instituto Federal;Pública;Municipal;RN;Não;Não;Feminino;Pardo;Solteiro;Não;Sim;Entre 1001 e 1500 reais;Sim;Reprovado em quatro disciplinas;Não;Não;Não;Não;Sim;Sim;Não;Não;Não;Ensino fundamental incompleto;Ensino superior Completo;45;2017;2021;40
Concludente/Egresso;Mossoró - Noturno;2016.1;20211;Não, esse foi o curso que consegui ingressar;Não;Pública;Escola Estadual;Pública;Municipal;CE;Não;Não;Masculino;Branco;Solteiro;Não;Sim;Entre 1001 e 1500 reais;Não;Reprovado em duas disciplinas;Não;Não;Sim;Sim;Sim;Sim;Não;Não;Não;Ensino fundamental Completo;Ensino fundamental Completo;46;2016;2021;50
Concludente/Egresso;Mossoró - Diurno;2019.2;20212;Sim, sempre quis cursar CeT;Sim;Pública;Instituto Federal;Pública;Escola Estadual;RN;Eu já morava na mesma cidade;Não;Feminino;Pardo;Solteiro;Não;Não;Entre 1001 e 1500 reais;Sim;Reprovado em uma disciplina;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Ensino médio completo;Ensino médio completo;47;2019;2021;20
Concludente/Egresso;Caraúbas - Diurno;2018.2;20212;Não, esse foi o curso que consegui ingressar;Não;Pública;Escola Estadual;Pública;Municipal;RN;Sim;Não;Feminino;Pardo;Solteiro;Não;Não;Menos de 500 reais;Sim;Aprovado em todas as disciplinas;Não;Sim;Não;Não;Não;Sim;Não;Não;Sim;Ensino fundamental incompleto;Ensino fundamental incompleto;48;2018;2021;30
Concludente/Egresso;Angicos - Diurno;2020.2;20212;Sim, sempre quis cursar CeT;Não;Pública;Instituto Federal;Privada;NULO;RN;Não;Não;Feminino;Pardo;Solteiro;Não;Sim;Entre 1001 e 1500 reais;Sim;Aprovado em todas as disciplinas;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Ensino médio completo;Ensino superior incompleto;49;2020;2021;10
Concludente/Egresso;Mossoró - Diurno;2018.2;20221;Sim, sempre quis cursar CeT;Não;privada;NULO;Pública;Municipal;PB;Sim;Não;Masculino;Pardo;Solteiro;Não;Não;Entre 1001 e 1500 reais;Sim;Reprovado em duas disciplinas;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Ensino médio incompleto;Ensino fundamental incompleto;50;2018;2022;40
Concludente/Egresso;Caraúbas - Diurno;2021.1;20212;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Pública;Escola Estadual;RN;Sim;Não;Masculino;Branco;Solteiro;Não;Não;Entre 501 e 1000 reais;Sim;Aprovado em todas as disciplinas;Sim;Sim;Sim;Não;Sim;Sim;Sim;Não;Sim;Pós-graduação completa;Pós-graduação completa;51;2021;2021;0
Evadido/Desistente;Caraúbas - Diurno;2021.1;20211;Não, esse foi o curso que consegui ingressar;Sim;Pública;Escola Estadual;Pública;Escola Estadual;RN;Não;Não;Masculino;Branco;Solteiro;Não;Sim;Entre 1001 e 1500 reais;Não;Reprovado em cinco ou mais disciplinas;Não;Sim;Sim;Sim;Sim;Não;Não;Sim;Não;Ensino primário incompleto;Ensino médio completo;52;2021;2021;0
Concludente/Egresso;Pau dos Ferros - Noturno;2017.1;20212;Não, esse foi o curso que consegui ingressar;Sim;privada;NULO;Privada;NULO;PB;Eu já morava na mesma cidade;Não;Masculino;Pardo;Solteiro;Não;Não;Entre 1501 e 2000 reais;Não;Reprovado em uma disciplina;Não;Não;Sim;Não;Não;Não;Não;Sim;Não;Ensino superior Completo;Ensino fundamental Completo;53;2017;2021;40
Evadido/Desistente;Caraúbas - Diurno;2021.1;20211;Não, esse foi o curso que consegui ingressar;Não;Pública;Escola Estadual;Pública;Municipal;RN;Eu já morava na mesma cidade;Não;Feminino;Negro;Solteiro;Não;Não;Entre 1001 e 1500 reais;Sim;Reprovado em duas disciplinas;Sim;Sim;Não;Sim;Sim;Sim;Não;Não;Sim;Ensino fundamental incompleto;Ensino fundamental incompleto;54;2021;2021;0
Concludente/Egresso;Mossoró - Noturno;2019.2;20211;Não, esse foi o curso que consegui ingressar;Sim;privada;NULO;Privada;NULO;RN;Eu já morava na mesma cidade;Não;Masculino;Pardo;Casado;Sim;Sim;Entre 2001 e 2500 reais;Não;Aprovado em todas as disciplinas;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Ensino médio completo;Ensino superior Completo;55;2019;2021;20
Concludente/Egresso;Mossoró - Noturno;2021.1;20212;Sim, sempre quis cursar CeT;Não;Pública;Escola Estadual;Pública;Municipal;CE;Não;Não;Masculino;Negro;Solteiro;Não;Sim;Entre 1001 e 1500 reais;Não;Reprovado em uma disciplina;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Ensino médio completo;Ensino fundamental incompleto;56;2021;2021;0
Concludente/Egresso;Caraúbas - Diurno;2019.1;20212;Não, esse foi o curso que consegui ingressar;Sim;Pública;Escola Estadual;Pública;Municipal;RN;Sim;Sim;Masculino;Pardo;Solteiro;Não;Não;Entre 1001 e 1500 reais;Sim;Reprovado em quatro disciplinas;Não;Não;Não;Sim;Não;Sim;Não;Não;Não;Ensino médio completo;Ensino médio completo;57;2019;2021;20
Concludente/Egresso;Caraúbas - Diurno;2017.2;20211;Sim, sempre quis cursar CeT;Não;Pública;Instituto Federal;Pública;Escola Estadual;PB;Sim;Não;Feminino;Branco;Solteiro;Não;Sim;Entre 2501 e 3000 reais;Não;Reprovado em uma disciplina;Sim;Não;Sim;Sim;Sim;Sim;Sim;Não;Sim;Ensino fundamental incompleto;Ensino fundamental incompleto;58;2017;2021;40
Concludente/Egresso;Mossoró - Diurno;2021.1;20212;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Privada;NULO;RN;Sim;Não;Masculino;Pardo;Solteiro;Não;Não;Acima de 3000 reais;Não;Reprovado em cinco ou mais disciplinas;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Pós-graduação completa;Ensino médio incompleto;59;2021;2021;0
Concludente/Egresso;Caraúbas - Diurno;2018.2;20212;Não, esse foi o curso que consegui ingressar;Não;Pública;Escola Estadual;Pública;Municipal;PI;Sim;Não;Masculino;Pardo;Solteiro;Não;Não;Entre 1001 e 1500 reais;Sim;Reprovado em duas disciplinas;Não;Sim;Sim;Não;Não;Sim;Não;Sim;Sim;Ensino médio completo;Ensino fundamental Completo;60;2018;2021;30
Concludente/Egresso;Angicos - Diurno;2012.2;20221;Não, esse foi o curso que consegui ingressar;Não;Pública;Escola Estadual;Pública;Municipal;RN;Sim;Não;Masculino;Amarelo;Casado;Não;Sim;Entre 1001 e 1500 reais;Sim;Reprovado em quatro disciplinas;Não;Não;Não;Não;Sim;Sim;Não;Não;Sim;Ensino fundamental incompleto;Ensino fundamental incompleto;61;2012;2022;100
Evadido/Desistente;Mossoró - Diurno;2019.1;20211;Não, esse foi o curso que consegui ingressar;Não;Pública;Escola Estadual;Pública;Escola Estadual;RN;Eu já morava na mesma cidade;Não;Masculino;Pardo;Solteiro;Não;Não;Entre 501 e 1000 reais;Não;Reprovado em uma disciplina;Sim;Sim;Sim;Sim;Sim;Não;Sim;Sim;Não;Ensino médio completo;Ensino médio completo;62;2019;2021;20
Concludente/Egresso;Pau dos Ferros - Noturno;2019.2;20212;Sim, sempre quis cursar CeT;Sim;privada;NULO;Privada;NULO;PB;Sim;Não;Masculino;Pardo;Solteiro;Não;Não;Entre 2501 e 3000 reais;Sim;Aprovado em todas as disciplinas;Não;Não;Sim;Não;Não;Sim;Não;Não;Não;Ensino médio completo;Ensino fundamental incompleto;63;2019;2021;20
Concludente/Egresso;Caraúbas - Diurno;2020.2;20211;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Pública;Escola Estadual;RN;Eu já morava na mesma cidade;Não;Masculino;Pardo;Solteiro;Não;Sim;Menos de 500 reais;Não;Aprovado em todas as disciplinas;Sim;Sim;Sim;Sim;Sim;Sim;Não;Não;Sim;Ensino fundamental incompleto;Ensino primário incompleto;64;2020;2021;10
Concludente/Egresso;Mossoró - Noturno;2016.2;20212;Sim, sempre quis cursar CeT;Não;Pública;Escola Estadual;Pública;Municipal;RN;Sim;Sim;Masculino;Negro;Solteiro;Sim;Não;Entre 501 e 1000 reais;Não;Reprovado em duas disciplinas;Não;Sim;Sim;Não;Sim;Sim;Não;Não;Sim;Ensino médio incompleto;Ensino médio incompleto;65;2016;2021;50
Concludente/Egresso;Caraúbas - Diurno;2021.1;20212;Sim, sempre quis cursar CeT;Não;Pública;Escola Estadual;Privada;Municipal;PB;Não;Não;Masculino;Branco;Solteiro;Não;Não;Entre 1501 e 2000 reais;Não;Reprovado em uma disciplina;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim;Não;Ensino médio completo;Ensino médio incompleto;66;2021;2021;0
Concludente/Egresso;Angicos - Diurno;2021.2;20211;Sim, sempre quis cursar CeT;Sim;privada;NULO;Privada;NULO;RN;Não;Não;Masculino;Negro;Casado;Sim;Sim;Acima de 3000 reais;Não;Aprovado em todas as disciplinas;Sim;Sim;Sim;Sim;Sim;Não;Não;Não;Não;Ensino fundamental Completo;Ensino fundamental Completo;67;2021;2021;0
Concludente/Egresso;Mossoró - Noturno;2019.1;20212;Sim, sempre quis cursar CeT;Não;Pública;Escola Estadual;Pública;Escola Estadual;RN;Eu já morava na mesma cidade;Não;Feminino;Branco;Solteiro;Não;Sim;Entre 2001 e 2500 reais;Não;Reprovado em duas disciplinas;Sim;Sim;Sim;Não;Não;Não;Não;Não;Sim;Ensino fundamental incompleto;Ensino médio completo;68;2019;2021;20
