indicator,source_variable,description,importance
var_22_Sim,var_22,Adequacy of the curriculum,0.008721920729478997
var_23_Não,var_23,Adequacy of the prerequisite chain,0.014297852484043954
var_23_Sim,var_23,Adequacy of the prerequisite chain,0.015225182148495345
var_24_Não,var_24,Adequacy of the assessment criteria,0.008357876070551317
var_24_Sim,var_24,Adequacy of the assessment criteria,0.0087676145960852
var_25_Não,var_25,Adequacy of the infrastructure,0.0062858181597878265
var_25_Sim,var_25,Adequacy of the infrastructure,0.009103890414790676
var_26_Não,var_26,Pedagogical problems or lack of lecturer engagement,0.010041102656346302
var_26_Sim,var_26,Pedagogical problems or lack of lecturer engagement,0.009987310993603414
var_27_Não,var_27,Social recognition of the related careers,0.013354006386964776
var_27_Sim,var_27,Social recognition of the related careers,0.014168478320589024
var_28_Não,var_28,Perception of professional remuneration,0.015163548972432656
var_28_Sim,var_28,Perception of professional remuneration,0.01736964378459054
var_29_Não,var_29,Parents married during the programme,0.01268675808291716
var_29_Sim,var_29,Parents married during the programme,0.014098949029439999
var_30_Ensino fundamental Completo,var_30,Mother's education level,0.00394904558272086
var_30_Ensino fundamental incompleto,var_30,Mother's education level,0.01061185281194919
var_30_Ensino médio completo,var_30,Mother's education level,0.01834056581882028
var_30_Ensino médio incompleto,var_30,Mother's education level,0.005100820249553347
var_30_Ensino primário incompleto,var_30,Mother's education level,0.002267997333261758
var_30_Ensino superior Completo,var_30,Mother's education level,0.0057701679060673415
var_30_Ensino superior incompleto,var_30,Mother's education level,0.001442219601345448
var_30_Pós-graduação completa,var_30,Mother's education level,0.007162715604463737
var_30_Pós-graduação incompleta,var_30,Mother's education level,0.0006959549276683867
var_31_Ensino fundamental Completo,var_31,Father's education level,0.006746564454429506
var_31_Ensino fundamental incompleto,var_31,Father's education level,0.012640378003233416
var_31_Ensino médio completo,var_31,Father's education level,0.014328603838692939
var_31_Ensino médio incompleto,var_31,Father's education level,0.004481246563205769
var_31_Ensino primário incompleto,var_31,Father's education level,0.0059229615296946935
var_31_Ensino superior Completo,var_31,Father's education level,0.006485140348463398
var_31_Ensino superior incompleto,var_31,Father's education level,0.0021855304959327152
var_31_Pós-graduação completa,var_31,Father's education level,0.0025637474399857903
