"Carimbo de data/hora","Qual a sua situação atual em relação ao curso ?","Qual a sua Universidade","Qual o estado onde se localiza sua universidade","Qual o curso que você ingressou?","Em qual  turno você  estava matriculado?","Em qual ano e semestre você ingressou no curso? Exemplo 2010.1","Em qual semestre você concluiu ou desistiu do curso? Exemplo 2015.2","Em relação ao seu aproveitamento acadêmico, até o segundo semestre do curso você foi?","Com relação ao ingresso na universidade a qual se matriculou, esta sempre foi a sua primeira opção de Universidade?","Com relação ao ingresso no curso, este sempre foi a sua primeira opção de curso?","Antes de ingressar no curso, você já possuía algum conhecimento prévio na área?","Antes de ingressar na universidade, em que tipo de escola você cursou o ensino médio?","Caso tenha cursado o ensino médio em escola pública, qual foi o tipo de instituição?","Antes de ingressar no ensino médio, em que tipo de escola você cursou o ensino fundamental?","Caso tenha cursado o ensino fundamental em escola pública, qual foi o tipo de instituição?","Antes de ingressar na universidade, você morava na mesma cidade onde se localiza o curso ao qual se matriculou?","Ao ingressar na universidade você se mudou para morar na mesma cidade do campus que se matriculou?","Você chegou a morar em vila acadêmica?","Qual seu gênero?","A qual raça você se considera pertencer?","Quando estava matriculado na universidade, qual era o seu Estado Civil?","Quando ingressou na universidade, qual era o sua idade?","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Quando estava na universidade, você tinha filhos?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Quando estava na universidade, você  trabalhava?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Você foi contemplado alguma bolsa durante o período que esteve no curso?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Você considera que, durante o período que esteve no curso, teve o devido acompanhamento da universidade? Exemplo: PROAE ou Coordenação do curso.]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Você considera que a grade curricular do seu curso é adequada ao que se exige no mercado de trabalho?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Em relação à cadeia de pré-requisitos das disciplinas do curso, você considera adequada?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Em relação aos critérios de avaliação do desempenho do aluno, você considera adequado?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Em relação à infraestrutura da instituição como laboratórios, bibliotecas, equipamentos de informática e etc, você considera adequada?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Em relação aos professores, você considera que os mesmos apresentam deficiências pedagógicas, desinteresse ou outros problemas?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Você considera que as carreiras relacionadas ao curso são socialmente reconhecidas?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Em relação ao mercado, você considera que o profissional formado no curso que você escolheu, é pago adequadamente?]","Perguntas sobre fatores individuas, internos à instituição e externos à instituição [Durante o período em que você estava na universidade, seus pais eram casados?]","Ao ingressar na universidade, qual era a renda mensal da sua família?","Em relação à sua mãe, qual o nível de escolaridade dela?","Em relação ao seu pai, qual o nível de escolaridade dele?"
"2022/04/29 10:20:18 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2011.2","2015.1","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Pública","Escola Estadual","Pública","Escola Estadual","Mossoró ","Eu já morava na mesma cidade","Não","Feminino","Pardo","Solteiro","Entre 20 e 25 anos","Não","Não","Sim","Sim","Não","Sim","Sim","Sim","Não","Não","Não","Não","Entre 1501 e 2000 reais","Ensino fundamental incompleto","Ensino médio completo"
"2022/04/30 9:17:51 AM GMT-3","Concludente","","","Biotecnologia","Diurno","2010.2","2016.2","Aprovado em todas as disciplinas","Não, a UFERSA foi  a minha segunda opção de Universidade","Não, esse foi o curso que consegui ingressar","Não","Privada","","Privada","","Mossoró ","Eu já morava na mesma cidade","Não","Feminino","Pardo","Solteiro","18 anos","Não","Não","Sim","Não","Não","Sim","Sim","Não","Sim","Não","Não","Sim","Entre 1501 e 2000 reais","Ensino superior Completo","Ensino superior Completo"
"2022/04/30 10:53:38 AM GMT-3","Concludente","","","Biotecnologia","Diurno","2009.2","2014.2","Reprovado em duas disciplinas","Não, a UFERSA foi  a minha segunda opção de Universidade","Não, esse foi o curso que consegui ingressar","Não","Privada","","Privada","","Mossoró ","Eu já morava na mesma cidade","Não","Masculino","Pardo","Solteiro","18 anos","Não","Não","Sim","Não","Sim","Sim","Sim","Não","Sim","Não","Não","Sim","Acima de 3000 reais","Ensino superior Completo","Ensino fundamental incompleto"
"2022/04/30 12:31:05 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2013.1","2017.1","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Privada","","Mossoró ","Não","Não","Masculino","Branco","Solteiro","17 anos","Não","Não","Sim","Sim","Não","Não","Sim","Sim","Sim","Não","Não","Sim","Entre 2001 e 2500 reais","Ensino superior Completo","Ensino superior Completo"
"2022/04/30 2:19:12 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2010.2","2016.2","Reprovado em duas disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Não, esse foi o curso que consegui ingressar","Não","Privada","","Privada","","Fortaleza/ce","Sim","Não","Feminino","Pardo","Solteiro","Acima de 25 anos","Não","Não","Sim","Sim","Não","Não","Não","Não","Sim","Não","Não","Não","Entre 1001 e 1500 reais","Ensino primário incompleto","Ensino fundamental incompleto"
"2022/05/02 9:33:01 AM GMT-3","Evadido/Desistente","","","Engenharia Agrícola e Ambiental","Diurno","2019.1","2019.2","Aprovado em todas as disciplinas","Não, a UFERSA foi a única Universidade que consegui ingressar","Sim, sempre quis cursar este curso ao qual ingressei","Não","Pública","Instituto Federal","Pública","Municipal","São José do Seridó/RN","Sim","Não","Masculino","Branco","Solteiro","19 anos","Não","Não","Não","Não","Sim","Sim","Sim","Não","Sim","Sim","Sim","Não","Entre 501 e 1000 reais","Ensino médio incompleto","Ensino fundamental incompleto"
"2022/05/02 9:38:05 AM GMT-3","Concludente","","","Biotecnologia","Diurno","2011.1","2016.1","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Privada","","Mossoró ","Eu já morava na mesma cidade","Não","Feminino","Branco","Solteiro","18 anos","Não","Não","Não","Sim","Não","Não","Não","Sim","Não","Sim","Sim","Sim","Entre 2501 e 3000 reais","Pós-graduação completa","Ensino superior incompleto"
"2022/05/02 9:46:52 AM GMT-3","Concludente","","","Biotecnologia","Diurno","2011.1","2014.2","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Privada","","Mossoró/RN","Eu já morava na mesma cidade","Não","Feminino","Branco","Solteiro","17 anos","Não","Não","Não","Não","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Acima de 3000 reais","Pós-graduação completa","Ensino superior Completo"
"2022/05/02 9:48:28 AM GMT-3","Concludente","","","Biotecnologia","Diurno","2013.2","2017.2","Aprovado em todas as disciplinas","Não, a UFERSA foi a única Universidade que consegui ingressar","Sim, sempre quis cursar este curso ao qual ingressei","Não","Pública","Escola Estadual","Pública","Escola Estadual","Piauí ","Não","Não","Feminino","Branco","Solteiro","Entre 20 e 25 anos","Não","Sim","Sim","Sim","Não","Não","Sim","Sim","Não","Não","Não","Sim","Entre 501 e 1000 reais","Ensino fundamental Completo","Ensino fundamental incompleto"
"2022/05/02 9:50:09 AM GMT-3","Evadido/Desistente","","","Biotecnologia","Diurno","2020.1","Nós 4 semestre ","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Não, esse foi o curso que consegui ingressar","Não","Pública","Escola Estadual","Privada","","Mossoró ","Eu já morava na mesma cidade","Não","Masculino","Negro","Solteiro","Entre 20 e 25 anos","Não","Sim","Não","Não","Sim","Sim","Sim","Sim","Não","Sim","Não","Sim","Entre 2001 e 2500 reais","Ensino médio completo","Ensino fundamental Completo"
"2022/05/02 9:50:43 AM GMT-3","Evadido/Desistente","","","Engenharia Agrícola e Ambiental","Diurno","2019.1","2021 2","Reprovado em quatro disciplinas","Não, a UFERSA foi  a minha segunda opção de Universidade","Não, esse foi o curso que consegui ingressar","Não","Pública","Escola Estadual","Privada","","Fortaleza- ceará","Sim","Não","Masculino","Pardo","Solteiro","17 anos","Não","Não","Sim","Não","Sim","Sim","Não","Sim","Sim","Sim","Sim","Sim","Entre 2501 e 3000 reais","Ensino médio completo","Ensino médio completo"
"2022/05/02 9:50:51 AM GMT-3","Concludente","","","Biotecnologia","Diurno","2011.1","2016.1","Reprovado em duas disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Pública","Escola Estadual","Pública","Escola Estadual","Ceará ","Sim","Não","Feminino","Pardo","Solteiro","17 anos","Não","Sim","Sim","Sim","Sim","Sim","Não","Não","Sim","Não","Não","Não","Entre 1501 e 2000 reais","Ensino superior Completo","Ensino médio completo"
"2022/05/02 9:55:10 AM GMT-3","Evadido/Desistente","","","Biotecnologia","Diurno","2014.2","2016.1","Reprovado em uma disciplina","Não, a UFERSA foi  a minha segunda opção de Universidade","Não, esse foi o curso que consegui ingressar","Não","Privada","","Privada","","Mossoró ","Eu já morava na mesma cidade","Não","Feminino","Branco","Solteiro","18 anos","Não","Não","Não","Não","Não","Não","Não","Sim","Não","Não","Não","Sim","Entre 2501 e 3000 reais","Ensino superior Completo","Ensino médio completo"
"2022/05/02 10:00:28 AM GMT-3","Concludente","","","Biotecnologia","Diurno","2012.2","2016.2","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Privada","","Mossoró/RN","Eu já morava na mesma cidade","Não","Feminino","Branco","Solteiro","18 anos","Não","Não","Sim","Não","Sim","Sim","Sim","Não","Sim","Sim","Não","Sim","Acima de 3000 reais","Pós-graduação completa","Ensino superior Completo"
"2022/05/02 10:06:09 AM GMT-3","Concludente","","","Biotecnologia","Diurno","2013.1","2017.1","Reprovado em uma disciplina","Não, a UFERSA foi  a minha segunda opção de Universidade","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Privada","","Fortaleza- Ceará ","Sim","Não","Feminino","Pardo","Solteiro","17 anos","Não","Não","Sim","Não","Não","Sim","Sim","Não","Sim","Não","Não","Sim","Acima de 3000 reais","Ensino médio completo","Ensino médio completo"
"2022/05/02 10:09:33 AM GMT-3","Concludente","","","Biotecnologia","Diurno","2010.1","2014.1","Aprovado em todas as disciplinas","Não, a UFERSA foi  a minha segunda opção de Universidade","Não, esse foi o curso que consegui ingressar","Não","Pública","Escola Estadual","Privada","","Currais Novos, RN","Sim","Não","Feminino","Amarelo","Solteiro","19 anos","Não","Não","Sim","Não","Não","Sim","Sim","Não","Não","Não","Não","Não","Entre 2501 e 3000 reais","Ensino superior Completo","Ensino médio completo"
"2022/05/02 10:13:04 AM GMT-3","Concludente","","","Biotecnologia","Diurno","2012.2","2016.2","Aprovado em todas as disciplinas","Não, a UFERSA foi a única Universidade que consegui ingressar","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Privada","","Parnaíba - Piauí","Sim","Não","Masculino","Branco","Solteiro","18 anos","Não","Não","Não","Sim","Sim","Sim","Sim","Não","Não","Não","Não","Sim","Entre 2501 e 3000 reais","Ensino superior incompleto","Ensino médio completo"
"2022/05/02 10:22:17 AM GMT-3","Evadido/Desistente","","","Biotecnologia","Diurno","2009.2","2012.1","Reprovado em duas disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Privada","","Mossoró","Eu já morava na mesma cidade","Não","Masculino","Negro","Solteiro","19 anos","Não","Não","Não","Não","Não","Sim","Sim","Não","Sim","Não","Não","Não","Acima de 3000 reais","Pós-graduação completa","Ensino superior incompleto"
"2022/05/02 10:26:30 AM GMT-3","Concludente","","","Biotecnologia","Diurno","2013.1","2018.2","Aprovado em todas as disciplinas","Não, a UFERSA foi  a minha segunda opção de Universidade","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Pública","Municipal","Ceará ","Sim","Sim","Masculino","Pardo","Solteiro","18 anos","Não","Não","Sim","Sim","Sim","Sim","Não","Não","Sim","Sim","Não","Sim","Entre 1001 e 1500 reais","Ensino médio incompleto","Ensino fundamental incompleto"
"2022/05/02 10:41:48 AM GMT-3","Concludente","","","Biotecnologia","Diurno","2013.1","2017.1","Reprovado em uma disciplina","Não, a UFERSA foi  a minha segunda opção de Universidade","Sim, sempre quis cursar este curso ao qual ingressei","Não","Pública","Escola Estadual","Privada","","Russas, Ceará ","Sim","Não","Feminino","Pardo","Solteiro","18 anos","Não","Não","Sim","Não","Não","Sim","Sim","Não","Sim","Não","Não","Sim","Entre 2001 e 2500 reais","Ensino médio completo","Ensino médio completo"
"2022/05/02 10:45:37 AM GMT-3","Concludente","","","Biotecnologia","Diurno","2011.2","2015.2","Reprovado em uma disciplina","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Privada","","Mossoró/RN","Eu já morava na mesma cidade","Não","Masculino","Pardo","Solteiro","18 anos","Não","Não","Sim","Não","Não","Não","Não","Não","Sim","Não","Não","Sim","Entre 2501 e 3000 reais","Ensino fundamental Completo","Ensino superior Completo"
"2022/05/02 10:47:38 AM GMT-3","Concludente","","","Biotecnologia","Diurno","2010.1","2014.2","Aprovado em todas as disciplinas","Não, a UFERSA foi  a minha terceira opção de Universidade","Não, esse foi o curso que consegui ingressar","Sim, já trabalhava na área a qual estudei","Privada","","Privada","","Paraiba","Sim","Não","Feminino","Negro","Casado","Entre 20 e 25 anos","Não","Não","Sim","Sim","Não","Não","Não","Não","Sim","Não","Não","Não","Acima de 3000 reais","Pós-graduação completa","Ensino superior incompleto"
"2022/05/02 10:50:59 AM GMT-3","Concludente","","","Biotecnologia","Diurno","2015.1","2019.2","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Privada","","Mossoró, RN","Eu já morava na mesma cidade","Não","Feminino","Branco","Solteiro","17 anos","Não","Não","Sim","Não","Sim","Sim","Não","Não","Sim","Não","Não","Sim","Entre 1501 e 2000 reais","Ensino primário incompleto","Ensino médio completo"
"2022/05/02 11:01:19 AM GMT-3","Concludente","","","Biotecnologia","Diurno","2010.2","2015.1","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Não, esse foi o curso que consegui ingressar","Não","Privada","","Privada","","Mossoró-RN","Eu já morava na mesma cidade","Não","Feminino","Branco","Solteiro","Entre 20 e 25 anos","Não","Não","Não","Sim","Não","Não","Não","Sim","Não","Não","Não","Sim","Entre 2501 e 3000 reais","Ensino superior Completo","Ensino médio completo"
"2022/05/02 11:04:13 AM GMT-3","Evadido/Desistente","","","Biotecnologia","Diurno","2016.2","2018.2","Aprovado em todas as disciplinas","Não, a UFERSA foi  a minha segunda opção de Universidade","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Privada","","Fortaleza/Ceará ","Sim","Não","Feminino","Pardo","Solteiro","18 anos","Não","Não","Não","Sim","Sim","Sim","Sim","Não","Não","Não","Não","Não","Acima de 3000 reais","Pós-graduação completa","Pós-graduação completa"
"2022/05/02 11:14:51 AM GMT-3","Concludente","","","Biotecnologia","Diurno","2014.2","2019.1","Reprovado em duas disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Privada","","Mossoró","Eu já morava na mesma cidade","Não","Masculino","Pardo","Solteiro","17 anos","Não","Não","Sim","Não","Não","Não","Sim","Não","Não","Não","Não","Sim","Acima de 3000 reais","Ensino médio completo","Ensino superior Completo"
"2022/05/02 11:14:58 AM GMT-3","Concludente","","","Biotecnologia","Diurno","2013.1","2017.1","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Sim, curso técnico ou curso de formação","Pública","Instituto Federal","Pública","Municipal","Porto Seguro Bahia","Sim","Não","Masculino","Pardo","Solteiro","18 anos","Não","Não","Sim","Sim","Sim","Sim","Sim","Não","Não","Não","Não","Sim","Entre 2501 e 3000 reais","Ensino médio completo","Ensino fundamental incompleto"
"2022/05/02 11:24:21 AM GMT-3","Concludente","","","Biotecnologia","Diurno","2013.2","2018.2","Reprovado em duas disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Privada","","Mossoró-RN","Não","Não","Feminino","Branco","Solteiro","Acima de 25 anos","Não","Não","Não","Não","Não","Sim","Não","Não","Sim","Não","Não","Sim","Entre 2501 e 3000 reais","Ensino superior Completo","Ensino fundamental Completo"
"2022/05/02 11:46:39 AM GMT-3","Concludente","","","Biotecnologia","Diurno","2014","2020","Aprovado em todas as disciplinas","Não, a UFERSA foi  a minha segunda opção de Universidade","Não, esse foi o curso que consegui ingressar","Não","Pública","Escola Estadual","Pública","Escola Estadual","Russas/Ceará","Sim","Não","Feminino","Branco","Solteiro","18 anos","Não","Não","Sim","Não","Não","Não","Sim","Sim","Sim","Não","Não","Não","Entre 1001 e 1500 reais","Ensino médio completo","Ensino médio incompleto"
"2022/05/02 12:18:43 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2014.1","2017.2","Aprovado em todas as disciplinas","Não, a UFERSA foi  a minha segunda opção de Universidade","Não, esse foi o curso que consegui ingressar","Não","Privada","","Privada","","Limoeiro do Norte - Ceara ","Sim","Sim","Masculino","Negro","Casado","19 anos","Não","Não","Sim","Não","Sim","Sim","Sim","Sim","Não","Sim","Não","Não","Menos de 500 reais","Ensino superior Completo","Ensino médio completo"
"2022/05/02 12:23:46 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2014.1","2018.1","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Privada","","Mossoró-RN","Eu já morava na mesma cidade","Não","Masculino","Pardo","Solteiro","17 anos","Não","Não","Sim","Não","Não","Não","Não","Sim","Sim","Não","Não","Sim","Acima de 3000 reais","Ensino superior Completo","Ensino médio completo"
"2022/05/02 12:55:48 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2009.1","2013.1","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Privada","","Russas/Ceará ","Sim","Não","Feminino","Branco","Solteiro","18 anos","Não","Não","Sim","Não","Não","Sim","Sim","Sim","Sim","Não","Não","Não","Entre 2501 e 3000 reais","Ensino médio completo","Ensino médio completo"
"2022/05/02 1:18:13 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2012.1","2016.2","Reprovado em duas disciplinas","Não, a UFERSA foi  a minha segunda opção de Universidade","Sim, sempre quis cursar este curso ao qual ingressei","Sim, curso técnico ou curso de formação","Privada","Escola Estadual","Pública","Escola Estadual","Natal-RN","Sim","Não","Masculino","Pardo","Solteiro","17 anos","Não","Não","Não","Sim","Não","Sim","Sim","Sim","Não","Não","Não","Sim","Entre 2001 e 2500 reais","Ensino superior Completo","Ensino médio incompleto"
"2022/05/02 2:44:26 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2013.2","2019.1","Reprovado em uma disciplina","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Pública","Escola Estadual","Pública","Municipal","Mossoró ","Não","Não","Feminino","Pardo","Casado","Entre 20 e 25 anos","Não","Sim","Não","Sim","Sim","Sim","Sim","Não","Não","Sim","Não","Não","Entre 1001 e 1500 reais","Ensino médio completo","Ensino superior Completo"
"2022/05/02 3:45:39 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2013.1","2018.1","Aprovado em todas as disciplinas","Não, a UFERSA foi a única Universidade que consegui ingressar","Não, esse foi o curso que consegui ingressar","Não","Privada","","Privada","","Mossoró RN","Não","Não","Masculino","Branco","Solteiro","18 anos","Não","Sim","Sim","Não","Não","Sim","Não","Sim","Sim","Não","Não","Sim","Entre 2001 e 2500 reais","Ensino superior incompleto","Ensino médio completo"
"2022/05/02 5:16:33 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2017.1","2021.1","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Pública","Instituto Federal","Privada","","Mossoró /RN","Eu já morava na mesma cidade","Não","Masculino","Pardo","Solteiro","18 anos","Não","Não","Sim","Sim","Não","Não","Não","Sim","Não","Não","Não","Sim","Entre 2501 e 3000 reais","Ensino superior Completo","Ensino fundamental Completo"
"2022/05/02 7:27:27 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2017.1","2021.1","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Não, esse foi o curso que consegui ingressar","Não","Pública","Escola Estadual","Privada","","Mossoró ","Eu já morava na mesma cidade","Não","Feminino","Pardo","Solteiro","17 anos","Não","Não","Sim","Sim","Sim","Sim","Sim","Não","Sim","Não","Não","Sim","Entre 2001 e 2500 reais","Ensino médio completo","Ensino médio completo"
"2022/05/02 7:43:48 PM GMT-3","Evadido/Desistente","","","Biotecnologia","Diurno","2014.1","2015.2","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Não, esse foi o curso que consegui ingressar","Não","Privada","","Privada","","Mossoró","Eu já morava na mesma cidade","Não","Feminino","Negro","Solteiro","18 anos","Não","Não","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Não","Não","Entre 2001 e 2500 reais","Ensino médio completo","Ensino fundamental incompleto"
"2022/05/02 10:37:19 PM GMT-3","Evadido/Desistente","","","Biotecnologia","Diurno","2015.1","2018.2","Reprovado em uma disciplina","Sim, sempre quis cursar o ensino superior na UFERSA","Não, esse foi o curso que consegui ingressar","Não","Pública","Instituto Federal","Privada","","Mossoró RN","Eu já morava na mesma cidade","Não","Feminino","Branco","Solteiro","19 anos","Não","Não","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Não","Não","Entre 501 e 1000 reais","Ensino superior Completo","Ensino fundamental Completo"
"2022/05/02 11:42:59 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2011.1","2018.1","Aprovado em todas as disciplinas","Não, a UFERSA foi  a minha segunda opção de Universidade","Não, esse foi o curso que consegui ingressar","Não","Privada","","Privada","","Mossoró","Eu já morava na mesma cidade","Não","Feminino","Branco","Solteiro","17 anos","Não","Não","Sim","Não","Não","Sim","Não","Não","Não","Não","Não","Sim","Acima de 3000 reais","Pós-graduação completa","Ensino superior Completo"
"2022/05/04 7:44:12 PM GMT-3","Concludente","","","Biotecnologia","Diurno","2015.2","2019.2","Aprovado em todas as disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Não","Privada","","Pública","Municipal","Mossoró/RN","Eu já morava na mesma cidade","Não","Feminino","Branco","Solteiro","17 anos","Não","Não","Não","Não","Sim","Sim","Não","Sim","Não","Não","Não","Não","Acima de 3000 reais","Ensino fundamental incompleto","Ensino fundamental incompleto"
"2022/05/05 9:01:09 AM GMT-3","Concludente","","","Biotecnologia","Diurno","2010.2","2014.2","Aprovado em todas as disciplinas","Não, a UFERSA foi  a minha segunda opção de Universidade","Não, esse foi o curso que consegui ingressar","Não","Pública","Escola Estadual","Privada","","Fortaleza/Ceará ","Sim","Não","Masculino","Pardo","Solteiro","18 anos","Não","Não","Sim","Sim","Não","Sim","Sim","Sim","Não","Não","Não","Sim","Acima de 3000 reais","Ensino superior Completo","Ensino superior Completo"
"2022/05/09 8:36:42 PM GMT-3","Concludente","","","Engenharia Agrícola e Ambiental","Diurno","2014.2","2019.1","Reprovado em três disciplinas","Sim, sempre quis cursar o ensino superior na UFERSA","Sim, sempre quis cursar este curso ao qual ingressei","Sim, curso técnico ou curso de formação","Privada","","Privada","","Assú/RN","Sim","Não","Feminino","Branco","Solteiro","18 anos","Não","Não","Sim","Sim","Sim","Sim","Sim","Sim","Não","Não","Não","Sim","Entre 1001 e 1500 reais","Ensino superior incompleto","Ensino superior Completo"
"2022/05/10 1:22:40 PM GMT-3","Concludente","UFERSA","RN","Engenharia Agrícola e Ambiental","Integral","2021.1","Cursando ","Aprovado em todas as disciplinas","Não, esta foi  a minha terceira opção de Universidade","Não, esse foi o curso que consegui ingressar","Não","Pública","Instituto Federal","Pública","Municipal","Não, eu morava em uma cidade diferente da qual se localiza a minha universidade","Não","Não","Feminino","Negro","Solteiro","Entre 20 e 25 anos","Não","Sim","Sim","Não","Não","Não","Sim","Sim","Não","Não","Não","Não","Menos de 500 reais","Ensino fundamental incompleto","Ensino fundamental incompleto"
"2022/05/10 1:44:53 PM GMT-3","Concludente","UFERSA","RN","Engenharia Agrícola e Ambiental","Diurno","2019.1","Cursando","Reprovado em uma disciplina","Sim, sempre quis cursar o ensino superior nesta universidade","Sim, sempre quis cursar este curso ao qual ingressei","Sim, curso técnico ou curso de formação","Pública","Instituto Federal","Pública","Ifrn","Não, eu morava em uma cidade diferente da qual se localiza a minha universidade","Sim","Não","Masculino","Negro","Solteiro","Entre 20 e 25 anos","Não","Não","Sim","Não","Não","Sim","Sim","Não","Sim","Não","Não","Não","Entre 501 e 1000 reais","Ensino primário incompleto","Ensino primário incompleto"
"2022/05/10 3:52:37 PM GMT-3","Concludente","UFSB","BA","Engenharia Agrícola e Ambiental","Integral","2016.2","2022.2","Reprovado em uma disciplina","Sim, sempre quis cursar o ensino superior nesta universidade","Não, esse foi o curso que consegui ingressar","Não","Pública","Instituto Federal","Pública","Municipal","Não, eu morava em uma cidade diferente da qual se localiza a minha universidade","Sim","Não","Feminino","Branco","Solteiro","18 anos","Não","Não","Sim","Sim","Sim","Não","Não","Não","Sim","Sim","Sim","Sim","Entre 2501 e 3000 reais","Ensino superior Completo","Ensino superior Completo"
"2022/05/10 4:32:49 PM GMT-3","Concludente","UFERSA","RN","Engenharia Agrícola e Ambiental","Integral","2017.2","2025.2","Reprovado em quatro disciplinas","Não, esta foi a única Universidade que consegui ingressar","Não, esse foi o curso que consegui ingressar","Sim, já trabalhava na área a qual estudei","Pública","Escola Estadual","Pública","Escola Estadual","Não, eu morava em uma cidade diferente da qual se localiza a minha universidade","Sim","Sim","Masculino","Pardo","Solteiro","Entre 20 e 25 anos","Não","Não","Não","Sim","Não","Sim","Sim","Não","Sim","Não","Não","Sim","Entre 501 e 1000 reais","Ensino primário incompleto","Ensino fundamental incompleto"
"2022/05/10 10:10:44 PM GMT-3","Concludente","UFERSA","RN","Engenharia Agrícola e Ambiental","Integral","2016.1","não concluí, ainda estou em progresso","Reprovado em cinco ou mais disciplinas","Não, esta foi a única Universidade que consegui ingressar","Não, esse foi o curso que consegui ingressar","Não","Pública","Escola Estadual","Pública","Municipal","Não, eu morava em uma cidade diferente da qual se localiza a minha universidade","Sim","Sim","Feminino","Pardo","Solteiro","19 anos","Não","Não","Sim","Sim","Sim","Sim","Não","Sim","Sim","Não","Não","Sim","Entre 501 e 1000 reais","Ensino fundamental incompleto","Ensino fundamental Completo"
