;Qual a sua situação atual em relação ao curso de CeT?;Qual Campus e turno você pertence / pertenceu?;Em qual ano e semestre você ingressou no curso de CeT? Exemplo 2010.1;Em qual semestre você concluiu, desistiu ou encontra-se atualmente?Exemplo 2015.2;Com relação ao ingresso no curso de CeT, esta sempre foi a sua primeira opção de curso?;Antes de ingressar no curso você já possuía algum conhecimento prévio na área?;Antes de ingressar na universidade, em que tipo de escola você cursou o ensino médio?;Caso tenha estudado em escola pública, qual foi o tipo de instituição?;Antes de ingressar no ensino médio, em que tipo de escola você cursou o ensino fundamental?;Caso tenha estudado em escola pública, qual foi o tipo de instituição?_1;Antes de entrar na universidade em qual cidade/estado você morava?;Ao ingressar na universidade você se mudou para morar na mesma cidade do campus que se matriculou?;Você chegou a morar na vila acadêmica?;Qual seu gênero?;A qual raça você se considera pertencer?;Qual seu Estado Civil?;Você tem filhos;Você trabalha?;Qual a renda mensal da sua família ao ingressar na universidade?;Você foi contemplado alguma bolsa durante o período que esteve no curso?;Em relação ao seu aproveitamento acadêmico, até o segundo semestre do curso você foi?;Você considera que durante o período que esteve no curso teve o devido acompanhamento da universidade? Exemplo: PROAE ou Coordenação docurso.;Você considera que a grade curricular do curso de CeT é adequado ao que se exige no mercado de trabalho?;Em relação à cadeia de pré-requisitos das disciplinas do curso, você considera adequado?;Em relação aos critérios de avaliação do desempenho do aluno, você considera adequado?;Em relação à infraestrutura da instituição como laboratórios, bibliotecas, equipamentos de informática e etc, você considera adequada?;Em relação aos professores, você considera que os mesmos apresentam deficiências pedagógicas, desinteresse ou outros problemas?;Você considera que as carreiras relacionadas ao curso de CeT são socialmente reconhecidas?;Em relação ao mercado, você considera que o profissional formado em CeT é pago adequadamente?;Em relação aos seus pais, durante o período que você estava no curso, eles eram casados?;Em relação a sua mãe, qual o nível de escolaridade dela?;Em relação a seu pai, qual o nível de escolaridade dele?;cod_aluno;Ano de início;Ano fim;tempo no campus
195;Concludente/Egresso;Mossoró - Diurno;2017.2;2021.2;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Pública;Municipal;Areia Branca ;Sim;Não;Feminino;Pardo;Casado;Não;Sim;Entre 1501 e 2000 reais;Não;Reprovado em quatro disciplinas;Não;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Ensino médio completo;Ensino fundamental incompleto;196;2017;2021;4.0
196;Evadido/Desistente;Caraúbas - Diurno;2011.1;2013.1;Não, esse foi o curso que consegui ingressar;Sim;privada;;Privada;;Mossoró;Sim;Não;Feminino;Branco;Solteiro;Não;Não;Entre 2001 e 2500 reais;Sim;Reprovado em duas disciplinas;Não;Não;Sim;Não;Não;Sim;Sim;Não;Sim;Ensino médio incompleto;Ensino médio incompleto;197;2011;2013;2.0
197;Concludente/Egresso;Caraúbas - Noturno;2015.2;2021.1;Não, esse foi o curso que consegui ingressar;Não;Pública;Escola Estadual;Pública;Municipal;Patu RN;Não;Não;Masculino;Pardo;Casado;Não;Não;Entre 501 e 1000 reais;Sim;Reprovado em duas disciplinas;Não;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Ensino fundamental incompleto;Ensino primário incompleto;198;2015;2021;6.0
198;Evadido/Desistente;Angicos - Noturno;NAO LEMBRO ;2014.2;Sim, sempre quis cursar CeT;Não;privada;;Privada;;Assu ;Não;Não;Feminino;Pardo;Solteiro;Não;Sim;Acima de 3000 reais;Não;Aprovado em todas as disciplinas;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Sim;Ensino superior Completo;Ensino superior Completo;199;NAO LEMBRO ;2014;
199;Concludente/Egresso;Pau dos Ferros - Noturno;2015.1;2018.2;Sim, sempre quis cursar CeT;Sim;Pública;Instituto Federal;Pública;Escola Estadual;Rio Grande do Norte;Não;Não;Masculino;Branco;Solteiro;Não;Sim;Entre 1501 e 2000 reais;Não;Aprovado em todas as disciplinas;Sim;Não;Sim;Não;Sim;Sim;Não;Não;Sim;Ensino médio completo;Ensino fundamental Completo;200;2015;2018;3.0
200;Concludente/Egresso;Caraúbas - Diurno;2020.2;2021.2;Não, esse foi o curso que consegui ingressar;Não;Pública;Escola Estadual;Pública;Escola Estadual;Cajazeiras - PB;Sim;Não;Masculino;Pardo;Solteiro;Não;Não;Entre 501 e 1000 reais;Sim;Aprovado em todas as disciplinas;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Ensino fundamental incompleto;Ensino médio incompleto;201;2020;2021;1.0
201;Concludente/Egresso;Mossoró - Diurno;2021.1;2021.2;Sim, sempre quis cursar CeT;Não;privada;;Privada;;Mossoró;Eu já morava na mesma cidade;Não;Feminino;Pardo;Solteiro;Não;Não;Entre 1501 e 2000 reais;Não;Aprovado em todas as disciplinas;Sim;Não;Sim;Sim;Não;Não;Sim;Não;Sim;Pós-graduação completa;Ensino médio completo;202;2021;2021;0.0
202;Concludente/Egresso;Caraúbas - Noturno;2012.1;2016.1;Não, esse foi o curso que consegui ingressar;Não;Pública;Escola Estadual;Pública;Municipal;Apodi;Não;Não;Feminino;Branco;Solteiro;Não;Não;Entre 1001 e 1500 reais;Sim;Reprovado em cinco ou mais disciplinas;Sim;Não;Não;Não;Não;Sim;Não;Não;Sim;Ensino médio completo;Ensino médio completo;203;2012;2016;4.0
203;Evadido/Desistente;Pau dos Ferros - Noturno;2021.1;2021.1;Não, esse foi o curso que consegui ingressar;Sim;Pública;Instituto Federal;Pública;Municipal;tenente Ananias/RN;Não;Não;Feminino;Pardo;Solteiro;Não;Não;Entre 1001 e 1500 reais;Não;Aprovado em todas as disciplinas;Sim;Sim;Sim;Não;Sim;Sim;Não;Sim;Não;Ensino médio completo;Ensino superior Completo;204;2021;2021;0.0
204;Concludente/Egresso;Mossoró - Noturno;2020.1;2020.1;Sim, sempre quis cursar CeT;Sim;Pública;Escola Estadual;Pública;Municipal;Ereré-CE;Eu já morava na mesma cidade;Não;Masculino;Branco;Solteiro;Não;Sim;Entre 501 e 1000 reais;Não;Reprovado em cinco ou mais disciplinas;Sim;Sim;Sim;Sim;Sim;Não;Sim;Sim;Não;Ensino fundamental incompleto;Ensino primário incompleto;205;2020;2020;0.0
